state_name,asd_desc,county_ansi,source_desc,state_alpha,county_code,state_fips_code,county_name,statisticcat_desc,CV (%),year,country_code,load_time,end_code,class_desc,domain_desc,watershed_desc,country_name,commodity_desc,domaincat_desc,freq_desc,congr_district_code,region_desc,location_desc,reference_period_desc,week_ending,agg_level_desc,unit_desc,sector_desc,watershed_code,asd_code,group_desc,Value,state_ansi,util_practice_desc,prodn_practice_desc,short_desc,zip_5,begin_code
MICHIGAN,WEST CENTRAL,123,SURVEY,MI,123,26,NEWAYGO,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, WEST CENTRAL, NEWAYGO",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,40,FIELD CROPS,139.3,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,WEST CENTRAL,127,SURVEY,MI,127,26,OCEANA,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, WEST CENTRAL, OCEANA",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,40,FIELD CROPS,123,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,CENTRAL,,SURVEY,MI,998,26,OTHER (COMBINED) COUNTIES,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, CENTRAL, OTHER (COMBINED) COUNTIES",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,50,FIELD CROPS,127.3,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,CENTRAL,051,SURVEY,MI,051,26,GLADWIN,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, CENTRAL, GLADWIN",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,50,FIELD CROPS,151.4,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,CENTRAL,057,SURVEY,MI,057,26,GRATIOT,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, CENTRAL, GRATIOT",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,50,FIELD CROPS,170.8,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,CENTRAL,073,SURVEY,MI,073,26,ISABELLA,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, CENTRAL, ISABELLA",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,50,FIELD CROPS,154.7,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,CENTRAL,107,SURVEY,MI,107,26,MECOSTA,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, CENTRAL, MECOSTA",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,50,FIELD CROPS,133.2,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,CENTRAL,111,SURVEY,MI,111,26,MIDLAND,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, CENTRAL, MIDLAND",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,50,FIELD CROPS,159.5,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,CENTRAL,117,SURVEY,MI,117,26,MONTCALM,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, CENTRAL, MONTCALM",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,50,FIELD CROPS,159.3,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
MICHIGAN,EAST CENTRAL,,SURVEY,MI,998,26,OTHER (COMBINED) COUNTIES,YIELD,,2015,9000,2016-02-18 15:04:50.000,00,ALL CLASSES,TOTAL,,UNITED STATES,CORN,NOT SPECIFIED,ANNUAL,,,"MICHIGAN, EAST CENTRAL, OTHER (COMBINED) COUNTIES",YEAR,,COUNTY,BU / ACRE,CROPS,00000000,60,FIELD CROPS,163.6,26,GRAIN,ALL PRODUCTION PRACTICES,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",,00
